2021-03-04 11:53:47.879 | INFO     | engine:on_end_batch:476 - Epoch: [28][0/1972]	Time 2.182 (2.182)	Data 1.675 (1.675)	Loss 0.0206 (0.0206)
2021-03-04 11:57:12.815 | INFO     | engine:on_end_batch:476 - Epoch: [28][500/1972]	Time 0.379 (0.413)	Data 0.001 (0.006)	Loss 0.0172 (0.0167)
2021-03-04 12:00:36.997 | INFO     | engine:on_end_batch:476 - Epoch: [28][1000/1972]	Time 0.486 (0.411)	Data 0.001 (0.004)	Loss 0.0160 (0.0167)
2021-03-04 12:04:00.702 | INFO     | engine:on_end_batch:476 - Epoch: [28][1500/1972]	Time 0.405 (0.410)	Data 0.002 (0.004)	Loss 0.0175 (0.0168)
2021-03-04 12:07:15.166 | INFO     | engine:on_end_batch:476 - Epoch: [29][0/1972]	Time 2.326 (2.326)	Data 1.849 (1.849)	Loss 0.0159 (0.0159)
2021-03-04 12:10:45.305 | INFO     | engine:on_end_batch:476 - Epoch: [29][500/1972]	Time 0.393 (0.424)	Data 0.001 (0.006)	Loss 0.0164 (0.0167)
2021-03-04 12:14:17.812 | INFO     | engine:on_end_batch:476 - Epoch: [29][1000/1972]	Time 0.387 (0.425)	Data 0.001 (0.004)	Loss 0.0184 (0.0165)
2021-03-04 12:17:48.290 | INFO     | engine:on_end_batch:476 - Epoch: [29][1500/1972]	Time 0.385 (0.423)	Data 0.001 (0.004)	Loss 0.0179 (0.0166)
2021-03-04 12:21:06.911 | INFO     | engine:on_end_batch:476 - Epoch: [30][0/1972]	Time 2.183 (2.183)	Data 1.712 (1.712)	Loss 0.0177 (0.0177)
2021-03-04 12:24:39.184 | INFO     | engine:on_end_batch:476 - Epoch: [30][500/1972]	Time 0.429 (0.428)	Data 0.001 (0.006)	Loss 0.0201 (0.0159)
2021-03-04 12:28:11.612 | INFO     | engine:on_end_batch:476 - Epoch: [30][1000/1972]	Time 0.435 (0.426)	Data 0.001 (0.004)	Loss 0.0149 (0.0159)
2021-03-04 12:31:45.363 | INFO     | engine:on_end_batch:476 - Epoch: [30][1500/1972]	Time 0.402 (0.427)	Data 0.001 (0.004)	Loss 0.0164 (0.0159)
2021-03-04 12:35:07.454 | INFO     | engine:on_end_batch:476 - Epoch: [31][0/1972]	Time 2.089 (2.089)	Data 1.530 (1.530)	Loss 0.0163 (0.0163)
2021-03-04 12:38:36.165 | INFO     | engine:on_end_batch:476 - Epoch: [31][500/1972]	Time 0.386 (0.421)	Data 0.001 (0.006)	Loss 0.0159 (0.0157)
2021-03-04 12:42:00.996 | INFO     | engine:on_end_batch:476 - Epoch: [31][1000/1972]	Time 0.382 (0.415)	Data 0.002 (0.004)	Loss 0.0145 (0.0158)
2021-03-04 12:45:24.852 | INFO     | engine:on_end_batch:476 - Epoch: [31][1500/1972]	Time 0.395 (0.413)	Data 0.001 (0.004)	Loss 0.0142 (0.0158)
2021-03-04 12:48:39.429 | INFO     | engine:on_end_batch:476 - Epoch: [32][0/1972]	Time 2.290 (2.290)	Data 1.842 (1.842)	Loss 0.0143 (0.0143)
2021-03-04 12:52:04.455 | INFO     | engine:on_end_batch:476 - Epoch: [32][500/1972]	Time 0.381 (0.414)	Data 0.001 (0.006)	Loss 0.0196 (0.0157)
2021-03-04 12:55:30.446 | INFO     | engine:on_end_batch:476 - Epoch: [32][1000/1972]	Time 0.417 (0.413)	Data 0.001 (0.004)	Loss 0.0184 (0.0157)
2021-03-04 12:58:56.122 | INFO     | engine:on_end_batch:476 - Epoch: [32][1500/1972]	Time 0.417 (0.412)	Data 0.001 (0.004)	Loss 0.0175 (0.0157)
2021-03-04 13:02:11.495 | INFO     | engine:on_end_batch:476 - Epoch: [33][0/1972]	Time 1.986 (1.986)	Data 1.485 (1.485)	Loss 0.0152 (0.0152)
2021-03-04 13:05:36.396 | INFO     | engine:on_end_batch:476 - Epoch: [33][500/1972]	Time 0.393 (0.413)	Data 0.001 (0.005)	Loss 0.0159 (0.0156)
2021-03-04 13:09:00.561 | INFO     | engine:on_end_batch:476 - Epoch: [33][1000/1972]	Time 0.424 (0.411)	Data 0.001 (0.004)	Loss 0.0157 (0.0156)
2021-03-04 13:12:25.652 | INFO     | engine:on_end_batch:476 - Epoch: [33][1500/1972]	Time 0.401 (0.410)	Data 0.001 (0.003)	Loss 0.0142 (0.0156)
2021-03-04 13:15:41.458 | INFO     | engine:on_end_batch:476 - Epoch: [34][0/1972]	Time 2.254 (2.254)	Data 1.728 (1.728)	Loss 0.0169 (0.0169)
2021-03-04 13:19:12.189 | INFO     | engine:on_end_batch:476 - Epoch: [34][500/1972]	Time 0.433 (0.425)	Data 0.001 (0.006)	Loss 0.0172 (0.0156)
2021-03-04 13:22:42.936 | INFO     | engine:on_end_batch:476 - Epoch: [34][1000/1972]	Time 0.411 (0.423)	Data 0.001 (0.004)	Loss 0.0183 (0.0156)
2021-03-04 13:26:12.157 | INFO     | engine:on_end_batch:476 - Epoch: [34][1500/1972]	Time 0.387 (0.422)	Data 0.001 (0.004)	Loss 0.0173 (0.0156)
2021-03-04 13:29:32.361 | INFO     | engine:on_end_batch:476 - Epoch: [35][0/1972]	Time 1.975 (1.975)	Data 1.449 (1.449)	Loss 0.0132 (0.0132)
2021-03-04 13:33:05.494 | INFO     | engine:on_end_batch:476 - Epoch: [35][500/1972]	Time 0.504 (0.429)	Data 0.001 (0.005)	Loss 0.0144 (0.0156)
2021-03-04 13:36:37.431 | INFO     | engine:on_end_batch:476 - Epoch: [35][1000/1972]	Time 0.390 (0.427)	Data 0.001 (0.004)	Loss 0.0153 (0.0156)
2021-03-04 13:40:00.401 | INFO     | engine:on_end_batch:476 - Epoch: [35][1500/1972]	Time 0.393 (0.420)	Data 0.001 (0.003)	Loss 0.0166 (0.0156)
2021-03-04 13:43:13.813 | INFO     | engine:on_end_batch:476 - Epoch: [36][0/1972]	Time 2.082 (2.082)	Data 1.544 (1.544)	Loss 0.0137 (0.0137)
2021-03-04 13:46:35.654 | INFO     | engine:on_end_batch:476 - Epoch: [36][500/1972]	Time 0.384 (0.407)	Data 0.001 (0.005)	Loss 0.0171 (0.0155)
2021-03-04 13:49:58.953 | INFO     | engine:on_end_batch:476 - Epoch: [36][1000/1972]	Time 0.383 (0.407)	Data 0.001 (0.004)	Loss 0.0116 (0.0156)
2021-03-04 13:53:22.296 | INFO     | engine:on_end_batch:476 - Epoch: [36][1500/1972]	Time 0.436 (0.407)	Data 0.001 (0.003)	Loss 0.0157 (0.0156)
